Dataset,Batch Size,Train Accuracy,Test Accuracy,Generalization Gap,Avg Epoch Time,Convergence Epoch
Small (1K),1,92.125,93.0,-0.875,0.29656320095062255,9
Small (1K),8,96.625,95.0,1.625,0.03864872455596924,2
Small (1K),32,98.5,96.0,2.5,0.011184968948364259,1
Small (1K),64,98.625,95.5,3.125,0.006661281585693359,1
Small (1K),128,99.0,96.0,3.0,0.004406514167785644,1
Small (1K),256,98.75,97.5,1.25,0.003346405029296875,0
Small (1K),512,98.75,96.5,2.25,0.002559628486633301,1
Medium (10K),1,97.6,97.45,0.14999999999999147,3.016052203178406,0
Medium (10K),8,98.4125,98.15,0.26249999999998863,0.39816019058227536,0
Medium (10K),32,98.8875,98.7,0.1875,0.11146398544311524,0
Medium (10K),64,98.9125,98.55,0.36249999999999716,0.06383749485015869,0
Medium (10K),128,98.875,99.0,-0.125,0.04080320835113525,0
Medium (10K),256,98.975,99.05,-0.07500000000000284,0.0317499589920044,0
Medium (10K),512,98.7875,98.8,-0.012500000000002842,0.028294572830200194,0
Large (50K),1,99.065,99.23,-0.16500000000000625,15.290195779800415,0
Large (50K),8,99.18,99.32,-0.13999999999998636,1.9305513048171996,0
Large (50K),32,99.2275,99.34,-0.11249999999999716,0.5780238342285157,0
Large (50K),64,99.1325,99.31,-0.1775000000000091,0.32548487186431885,0
Large (50K),128,99.1925,99.31,-0.11750000000000682,0.20689534664154052,0
Large (50K),256,99.12,99.25,-0.12999999999999545,0.16305530548095704,0
Large (50K),512,98.9825,99.27,-0.2874999999999943,0.13911154270172119,0
